vacancy_id,name,description,key_skills,area,experience,employment,schedule,salary_from,salary_to,salary_currency,salary_gross,published_at,employer_id
sample-000,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 0.",,Москва,Нет опыта,Полная занятость,Удалённая работа,78648,108648,RUR,True,2025-01-01T00:00:00+00:00,employer-0
sample-001,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 1.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,100819,130819,RUR,True,2025-01-02T00:00:00+00:00,employer-1
sample-002,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 2.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,134012,164012,RUR,True,2025-01-03T00:00:00+00:00,employer-2
sample-003,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 3.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,158024,188024,RUR,True,2025-01-04T00:00:00+00:00,employer-3
sample-004,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 4.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,182314,212314,RUR,True,2025-01-05T00:00:00+00:00,employer-4
sample-005,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 5.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,204572,234572,RUR,True,2025-01-06T00:00:00+00:00,employer-5
sample-006,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 6.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,78358,108358,RUR,True,2025-01-07T00:00:00+00:00,employer-6
sample-007,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 7.",,Санкт-Петербург,1-3 года,Полная занятость,Полный день,117870,147870,RUR,True,2025-01-08T00:00:00+00:00,employer-7
sample-008,Аналитик данных,"<p>Анализ метрик и отчетность: SQL, Python, pandas, статистика</p> Команда создаёт production-сервисы. Вакансия 8.","SQL,Python,pandas,статистика",Новосибирск,3-6 лет,Полная занятость,Удалённая работа,127848,157848,RUR,True,2025-01-09T00:00:00+00:00,employer-0
sample-009,Data Engineer,"<p>Построение ETL на Airflow, Spark, Kafka, PostgreSQL и Python</p> Команда создаёт production-сервисы. Вакансия 9.","Airflow,Spark,Kafka,PostgreSQL,Python",Москва,Нет опыта,Полная занятость,Полный день,169349,199349,RUR,True,2025-01-10T00:00:00+00:00,employer-1
sample-010,Python developer,"<p>Backend-разработка REST API на Python, FastAPI, PostgreSQL, Docker</p> Команда создаёт production-сервисы. Вакансия 10.","Python,FastAPI,PostgreSQL,Docker,REST API",Санкт-Петербург,1-3 года,Полная занятость,Удалённая работа,188825,218825,RUR,True,2025-01-11T00:00:00+00:00,employer-2
sample-011,DevOps инженер,"<p>Поддержка Linux, Docker, Git и CI/CD инфраструктуры</p> Команда создаёт production-сервисы. Вакансия 11.","Linux,Docker,Git,CI/CD",Новосибирск,3-6 лет,Полная занятость,Полный день,201041,231041,RUR,True,2025-01-12T00:00:00+00:00,employer-3
sample-012,ML Engineer,"<p>Разработка моделей машинного обучения на Python, PyTorch, Docker и MLflow</p> Команда создаёт production-сервисы. Вакансия 12.","Python,PyTorch,Docker,MLflow",Москва,Нет опыта,Полная занятость,Удалённая работа,75976,105976,RUR,True,2025-01-13T00:00:00+00:00,employer-4
sample-013,Data Scientist,"<p>Исследование данных, статистика, Python, pandas, scikit-learn и SQL</p> Команда создаёт production-сервисы. Вакансия 13.","[""Python"", ""pandas"", ""scikit-learn"", ""SQL""]",Санкт-Петербург,1-3 года,Полная занятость,Полный день,103070,133070,RUR,True,2025-01-14T00:00:00+00:00,employer-5
